query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,10,CYCLE,3,0,14,0.2733,0.1567,1
IntLog,10,CYCLE,3,0,15,0.2744,0.0967,1
IntLog,10,CYCLE,3,0,16,0.3167,0.1433,12
IntLog,10,CYCLE,3,0,17,0.2733,0.1567,1
IntLog,10,CYCLE,3,0,18,0.2578,0.1089,9
IntLog,10,CYCLE,3,0,19,0.3089,0.1533,4
IntLog,10,CYCLE,4,0,0,0.0367,0.0011,746
IntLog,10,CYCLE,4,0,1,0.0322,0.0022,369
IntLog,10,CYCLE,4,0,2,0.0367,0.0044,118
IntLog,10,CYCLE,4,0,3,0.0344,0.0056,17
IntLog,10,CYCLE,4,0,4,0.0433,0.0033,3
IntLog,10,CYCLE,4,0,5,0.0322,0.0078,8
IntLog,10,CYCLE,4,0,6,0.0256,0.0022,115
IntLog,10,CYCLE,4,0,7,0.0311,0.0067,110
IntLog,10,CYCLE,4,0,8,0.0344,0.0067,335
IntLog,10,CYCLE,4,0,9,0.0289,0.0011,817
IntLog,10,CYCLE,4,0,10,0.0233,0.0033,7
IntLog,10,CYCLE,4,0,11,0.0411,0.0078,319
IntLog,10,CYCLE,4,0,12,0.0356,0.0044,112
IntLog,10,CYCLE,4,0,13,0.0467,0.0078,29
IntLog,10,CYCLE,4,0,14,0.0322,0.0033,253
IntLog,10,CYCLE,4,0,15,0.0400,0.0056,132
IntLog,10,CYCLE,4,0,16,0.0256,0.0011,46
IntLog,10,CYCLE,4,0,17,0.0211,0.0033,191
IntLog,10,CYCLE,4,0,18,0.0344,0.0011,132
IntLog,10,CYCLE,4,0,19,0.0289,0.0022,448
IntLog,10,CYCLE,5,0,0,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,1,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,2,0.0011,0.0000,None
IntLog,10,CYCLE,5,0,3,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,4,0.0022,0.0000,None
IntLog,10,CYCLE,5,0,5,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,6,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,7,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,8,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,9,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,10,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,11,0.0011,0.0000,None
IntLog,10,CYCLE,5,0,12,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,13,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,14,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,15,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,16,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,17,0.0000,0.0000,None
IntLog,10,CYCLE,5,0,18,0.0000,0.0000,None
